navn,type,endepunkt1,lat1,lon1,endepunkt2,lat2,lon2,fysisk_km,ae_flat_km,diff_km,diff_pct,palitelighet,fysisk_kilde
Pontchartrain Causeway,Bro over vann,Sør (South Pass Span),30.134,-90.133833,Nord (Northshore Toll Plaza),30.365217,-90.094017,38.4,26.102,12.298,32.027,Gull - sum av fysiske betongseksjoner,ASCE + Wikipedia: 23.86 mi = sum av 2200 spann × 56 ft
Eyre Highway 90 Mile Straight,Asfaltvei,Balladonia Roadhouse (vest),-32.458056,123.866111,Caiguna Roadhouse (øst),-32.268889,125.49,146.6,385.899,-239.299,-163.232,Sølv - veietat + uavhengige reisende bekrefter,Tourism Australia + flere reisende-rapporter
Highway 10 Saudi (delsegment),Asfaltvei i ørken,Sjekkpunkt Empty Quarter (170 km odometer),24.155833,48.952333,Saudi customs post Al Batha (520 km odometer),24.129833,51.5725,350.0,334.615,15.385,4.396,"Bronse - en bilists odometer, ikke tre-veis bekreftet",Odometer-differanse: 520-170 = 350 km kjørt
Highway 10 (offisielt rette segment),Asfaltvei i ørken,"Haradh (start rette strekningen, omtrent)",24.135369,49.081712,Al Batha Saudi customs post,24.129833,51.5725,240.0,318.133,-78.133,-32.555,"Sølv - offisiell Guinness-måling, Haradh-start usikker",Guinness World Records 2020 + Saudipedia
